,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc
91,1.82,0.0725018,0.03859448,0.033064384,0.035738043,0.039437417,-0.05106423,4.4742565e-06,-0.00019146298,-0.050872765
92,1.84,0.073270164,0.038241457,0.033779394,0.035760097,0.03949077,-0.051188756,4.513925e-06,-0.00019287871,-0.050995875
93,1.86,0.07403145,0.037887283,0.034494713,0.03576957,0.039536737,-0.051315937,4.552195e-06,-0.00019433051,-0.051121604
94,1.88,0.07478564,0.037532136,0.035210103,0.035766777,0.03957554,-0.051445846,4.5891456e-06,-0.00019581828,-0.05125003
95,1.9,0.075532734,0.037176203,0.035925318,0.035752047,0.039607417,-0.05157853,4.624859e-06,-0.00019734194,-0.05138119
96,1.92,0.07627269,0.03681965,0.03664012,0.035725705,0.03963257,-0.051714,4.659417e-06,-0.00019890124,-0.0515151
97,1.94,0.07700552,0.036462642,0.03735428,0.03568808,0.03965124,-0.051852256,4.6929035e-06,-0.00020049619,-0.051651757
98,1.96,0.0777312,0.03610533,0.038067583,0.03563951,0.039663617,-0.051993296,4.7254002e-06,-0.00020212663,-0.05179117
99,1.98,0.078449726,0.03574788,0.038779803,0.035580326,0.039669923,-0.052137095,4.7569906e-06,-0.0002037925,-0.051933303
100,2.0,0.07916111,0.035390425,0.039490733,0.035510868,0.039670374,-0.052283607,4.7877834e-06,-0.00020549369,-0.052078113
101,2.02,0.079865344,0.03503311,0.04020018,0.035431467,0.039665163,-0.052432794,4.8178595e-06,-0.00020723014,-0.052225564
102,2.04,0.08056244,0.034676068,0.04090794,0.03534247,0.0396545,-0.052584585,4.8472966e-06,-0.00020900175,-0.05237558
103,2.06,0.081252396,0.03431943,0.041613832,0.0352442,0.039638564,-0.05273891,4.8761726e-06,-0.00021080843,-0.0525281
104,2.08,0.08193522,0.033963323,0.042317666,0.035137005,0.039617553,-0.052895665,4.904561e-06,-0.00021265016,-0.05268302
105,2.1,0.08261093,0.033607855,0.04301927,0.035021205,0.03959166,-0.053054765,4.932534e-06,-0.00021452687,-0.052840233
106,2.12,0.083279535,0.033253156,0.04371847,0.03489714,0.039561067,-0.05321612,4.96016e-06,-0.00021643857,-0.052999675
107,2.14,0.08394106,0.032899324,0.044415113,0.03476513,0.039525945,-0.053379584,4.987507e-06,-0.00021838518,-0.053161196
108,2.16,0.08459552,0.032546464,0.045109034,0.03462551,0.039486483,-0.053545073,5.0146377e-06,-0.00022036661,-0.053324703
109,2.18,0.085242935,0.032194678,0.045800097,0.034478594,0.039442837,-0.05371242,5.0416115e-06,-0.0002223829,-0.053490035
110,2.2,0.08588331,0.031844065,0.04648815,0.034324702,0.03939516,-0.053881515,5.0684857e-06,-0.00022443413,-0.05365708
111,2.22,0.08651669,0.031494714,0.047173057,0.03416415,0.039343636,-0.054052223,5.0953136e-06,-0.00022652013,-0.053825703
112,2.24,0.08714311,0.03114671,0.047854684,0.03399724,0.039288424,-0.054224376,5.122146e-06,-0.00022864096,-0.053995736
113,2.26,0.08776257,0.03080014,0.048532918,0.033824287,0.039229654,-0.054397855,5.1490297e-06,-0.00023079665,-0.054167055
114,2.28,0.08837512,0.030455083,0.04920763,0.033645585,0.03916749,-0.054572485,5.176008e-06,-0.00023298722,-0.054339495
115,2.3,0.08898079,0.030111616,0.049878716,0.03346143,0.03910207,-0.054748118,5.203119e-06,-0.00023521269,-0.054512907
116,2.32,0.0895796,0.029769808,0.05054607,0.03327211,0.03903353,-0.05492458,5.2304026e-06,-0.00023747302,-0.05468711
117,2.34,0.09017158,0.02942973,0.051209584,0.033077914,0.038962,-0.055101734,5.2578894e-06,-0.00023976831,-0.054861967
118,2.36,0.090756804,0.02909145,0.051869165,0.03287911,0.03888764,-0.055279408,5.2856094e-06,-0.00024209855,-0.055037312
119,2.38,0.09133525,0.028755024,0.05252473,0.032675978,0.03881052,-0.055457424,5.3135896e-06,-0.00024446382,-0.05521296
120,2.4,0.09190702,0.028420521,0.053176194,0.03246878,0.038730823,-0.055635646,5.3418516e-06,-0.00024686413,-0.055388782
121,2.42,0.0924721,0.028087985,0.05382348,0.032257777,0.03864862,-0.055813894,5.3704175e-06,-0.00024929948,-0.055564594
122,2.44,0.09303054,0.027757475,0.054466497,0.032043226,0.038564045,-0.05599199,5.3993035e-06,-0.00025177002,-0.055740215
123,2.46,0.093582414,0.027429042,0.055105194,0.03182537,0.03847722,-0.056169797,5.4285233e-06,-0.0002542757,-0.055915516
124,2.48,0.09412773,0.027102733,0.055739507,0.03160445,0.038388222,-0.056347124,5.4580873e-06,-0.00025681662,-0.056090314
125,2.5,0.09466653,0.02677859,0.056369368,0.0313807,0.038297165,-0.05652384,5.4880047e-06,-0.00025939284,-0.05626445
126,2.52,0.09519888,0.026456662,0.05699473,0.03115435,0.03820415,-0.056699764,5.518281e-06,-0.00026200432,-0.056437757
127,2.54,0.09572481,0.02613698,0.05761555,0.030925617,0.038109265,-0.056874733,5.548917e-06,-0.0002646512,-0.05661008
128,2.56,0.09624437,0.025819583,0.05823176,0.030694712,0.038012613,-0.057048626,5.579915e-06,-0.00026733347,-0.05678129
129,2.58,0.09675761,0.025504509,0.05884333,0.030461853,0.037914284,-0.05722126,5.6112713e-06,-0.00027005124,-0.05695121
130,2.6,0.09726457,0.025191791,0.05945023,0.030227235,0.03781434,-0.0573925,5.642984e-06,-0.0002728045,-0.057119694
131,2.62,0.097765304,0.024881454,0.06005242,0.029991053,0.037712883,-0.0575622,5.6750437e-06,-0.00027559322,-0.0572866
132,2.64,0.09825985,0.024573533,0.060649876,0.029753493,0.037609976,-0.057730198,5.7074435e-06,-0.00027841757,-0.057451777
133,2.66,0.09874827,0.024268048,0.061242566,0.029514741,0.0375057,-0.057896357,5.7401717e-06,-0.0002812775,-0.05761508
134,2.68,0.09923059,0.023965027,0.061830472,0.02927497,0.037400115,-0.05806056,5.773215e-06,-0.00028417303,-0.057776388
135,2.7,0.09970689,0.02366449,0.062413573,0.02903435,0.037293315,-0.05822266,5.806561e-06,-0.00028710425,-0.057935555
136,2.72,0.100177184,0.02336646,0.06299186,0.028793039,0.037185326,-0.058382507,5.8401924e-06,-0.00029007107,-0.05809243
137,2.74,0.10064156,0.023070956,0.06356531,0.028551199,0.037076257,-0.058540024,5.874091e-06,-0.00029307356,-0.05824695
138,2.76,0.10110004,0.02277799,0.06413391,0.028308973,0.03696613,-0.058695063,5.9082395e-06,-0.0002961117,-0.05839895
139,2.78,0.1015527,0.022487579,0.06469768,0.02806651,0.03685502,-0.0588475,5.942616e-06,-0.0002991855,-0.058548313
140,2.8,0.101999566,0.02219974,0.06525658,0.027823946,0.036742985,-0.058997255,5.9772005e-06,-0.000302295,-0.058694962
141,2.82,0.102440715,0.021914484,0.06581064,0.027581418,0.03663007,-0.059144195,6.011968e-06,-0.00030544004,-0.05883876
142,2.84,0.102876164,0.02163182,0.066359855,0.027339045,0.03651631,-0.059288207,6.0468965e-06,-0.00030862069,-0.05897959
143,2.86,0.10330599,0.021351758,0.066904224,0.027096951,0.036401764,-0.059429195,6.08196e-06,-0.00031183686,-0.059117354
144,2.88,0.103730254,0.021074304,0.06744375,0.026855253,0.036286503,-0.05956711,6.117133e-06,-0.00031508858,-0.059252016
145,2.9,0.10414899,0.020799467,0.06797844,0.026614059,0.03617055,-0.059701815,6.1523915e-06,-0.0003183757,-0.059383437
146,2.92,0.10456225,0.020527253,0.06850832,0.02637347,0.036053933,-0.059833214,6.187705e-06,-0.0003216982,-0.059511516
147,2.94,0.10497009,0.020257663,0.0690334,0.026133591,0.03593669,-0.059961263,6.223046e-06,-0.00032505597,-0.0596362
148,2.96,0.10537257,0.0199907,0.06955368,0.025894513,0.03581889,-0.060085885,6.2583895e-06,-0.00032844895,-0.059757438
149,2.98,0.10576974,0.019726366,0.070069194,0.025656324,0.035700545,-0.060206983,6.2937033e-06,-0.00033187703,-0.059875105
150,3.0,0.10616165,0.019464662,0.07057995,0.02541911,0.035581693,-0.060324524,6.328962e-06,-0.00033534013,-0.059989184
151,3.02,0.10654835,0.019205589,0.071085975,0.025182951,0.035462372,-0.06043842,6.364133e-06,-0.00033883806,-0.060099583
152,3.04,0.10692989,0.018949144,0.07158728,0.024947925,0.03534261,-0.060548607,6.3991884e-06,-0.00034237074,-0.060206234
153,3.06,0.10730633,0.018695323,0.072083905,0.024714096,0.035222426,-0.060655046,6.434098e-06,-0.00034593802,-0.06030911
154,3.08,0.10767772,0.018444125,0.07257587,0.024481535,0.035101853,-0.06075768,6.468833e-06,-0.00034953977,-0.06040814
155,3.1,0.108044125,0.018195545,0.07306319,0.0242503,0.034980938,-0.060856488,6.503363e-06,-0.00035317583,-0.060503308
156,3.12,0.10840556,0.017949577,0.073545896,0.024020456,0.034859665,-0.060951386,6.53766e-06,-0.00035684594,-0.060594544
157,3.14,0.108762115,0.017706215,0.07402402,0.02379205,0.034738094,-0.061042357,6.571691e-06,-0.00036054992,-0.06068181
158,3.16,0.109113835,0.017465455,0.074497595,0.023565138,0.03461624,-0.06112939,6.6054317e-06,-0.00036428773,-0.060765103
159,3.18,0.10946075,0.017227285,0.07496664,0.023339765,0.03449411,-0.06121244,6.6388493e-06,-0.0003680589,-0.060844384
160,3.2,0.10980293,0.016991701,0.0754312,0.023115976,0.034371734,-0.061291456,6.6719163e-06,-0.0003718634,-0.060919594
161,3.22,0.11014044,0.01675869,0.07589129,0.022893807,0.03424915,-0.061366457,6.7046053e-06,-0.0003757009,-0.060990762
162,3.24,0.110473305,0.016528247,0.07634696,0.022673298,0.03412634,-0.061437417,6.7368874e-06,-0.00037957123,-0.061057847
163,3.26,0.110801585,0.016300358,0.076798245,0.022454478,0.03400334,-0.061504304,6.7687347e-06,-0.00038347414,-0.061120834
164,3.28,0.111125335,0.016075013,0.07724516,0.022237385,0.033880174,-0.061567117,6.8001223e-06,-0.00038740927,-0.061179705
165,3.3,0.1114446,0.015852202,0.077687755,0.022022042,0.033756845,-0.061625842,6.8310223e-06,-0.00039137635,-0.061234467
166,3.32,0.11175943,0.01563191,0.078126065,0.021808473,0.033633366,-0.061680485,6.8614104e-06,-0.0003953752,-0.061285112
167,3.34,0.11206988,0.015414129,0.078560114,0.021596702,0.03350977,-0.061731055,6.891259e-06,-0.00039940534,-0.06133165
168,3.36,0.11237602,0.015198843,0.07898995,0.02138675,0.033386067,-0.061777566,6.9205457e-06,-0.0004034667,-0.061374094
169,3.38,0.112677865,0.014986038,0.079415604,0.021178631,0.03326226,-0.061820004,6.9492457e-06,-0.0004075588,-0.061412442
170,3.4,0.11297547,0.014775702,0.07983711,0.020972362,0.033138357,-0.061858334,6.977336e-06,-0.00041168122,-0.061446656
171,3.42,0.113268904,0.014567819,0.08025451,0.020767953,0.033014394,-0.06189264,7.004795e-06,-0.0004158338,-0.061476804
172,3.44,0.1135582,0.014362377,0.080667846,0.020565419,0.032890357,-0.0619229,7.0316005e-06,-0.00042001612,-0.06150288
173,3.46,0.11384342,0.014159359,0.08107714,0.020364765,0.032766275,-0.061949156,7.0577325e-06,-0.00042422776,-0.061524928
174,3.48,0.11412458,0.013958748,0.08148245,0.020166,0.032642134,-0.0619714,7.083171e-06,-0.00042846845,-0.06154293
175,3.5,0.114401765,0.013760531,0.081883796,0.019969126,0.03251797,-0.061989658,7.1078957e-06,-0.00043273772,-0.061556917
176,3.52,0.11467502,0.013564691,0.082281224,0.019774148,0.0323938,-0.062003963,7.131889e-06,-0.0004370353,-0.06156693
177,3.54,0.11494437,0.013371211,0.08267478,0.019581068,0.03226959,-0.06201434,7.155135e-06,-0.0004413607,-0.061572976
178,3.56,0.115209885,0.013180076,0.08306448,0.019389886,0.032145403,-0.06202083,7.1776153e-06,-0.00044571343,-0.061575122
179,3.58,0.115471594,0.012991266,0.083450384,0.019200599,0.03202121,-0.062023453,7.1993154e-06,-0.0004500932,-0.06157336
180,3.6,0.11572955,0.012804766,0.08383252,0.019013204,0.03189703,-0.06202224,7.22022e-06,-0.00045449965,-0.061567735
181,3.62,0.1159838,0.012620559,0.084210925,0.018827697,0.031772874,-0.062017214,7.240316e-06,-0.0004589322,-0.061558276
182,3.64,0.116234384,0.012438627,0.08458564,0.018644076,0.031648748,-0.06200841,7.2595894e-06,-0.0004633905,-0.06154502
183,3.66,0.11648135,0.01225895,0.0849567,0.01846233,0.03152465,-0.061995886,7.278031e-06,-0.0004678741,-0.061528012
184,3.68,0.11672475,0.012081513,0.085324146,0.01828245,0.031400606,-0.061979692,7.295626e-06,-0.00047238258,-0.061507314
185,3.7,0.11696462,0.011906295,0.08568801,0.018104434,0.031276613,-0.061959814,7.312367e-06,-0.00047691542,-0.061482895
186,3.72,0.117201015,0.0117332805,0.086048335,0.017928269,0.03115268,-0.06193632,7.328244e-06,-0.00048147215,-0.06145485
187,3.74,0.11743397,0.011562449,0.08640515,0.017753942,0.031028822,-0.06190931,7.343248e-06,-0.00048605236,-0.061423264
188,3.76,0.11766353,0.011393782,0.0867585,0.017581448,0.03090503,-0.061878756,7.357373e-06,-0.0004906556,-0.0613881
189,3.78,0.11788975,0.01122726,0.087108426,0.017410768,0.030781321,-0.06184473,7.3706115e-06,-0.00049528136,-0.061349444
190,3.8,0.118112646,0.011062867,0.087454945,0.017241895,0.030657701,-0.061807264,7.3829583e-06,-0.0004999291,-0.061307333
191,3.82,0.118332274,0.010900581,0.08779811,0.017074812,0.030534163,-0.06176642,7.3944084e-06,-0.00050459855,-0.061261818
192,3.84,0.11854868,0.010740385,0.08813795,0.016909508,0.03041073,-0.061722245,7.404958e-06,-0.00050928904,-0.06121296
193,3.86,0.118761905,0.010582258,0.08847449,0.016745966,0.030287415,-0.061674766,7.414604e-06,-0.000514,-0.061160766
194,3.88,0.11897198,0.010426184,0.088807784,0.016584173,0.030164197,-0.06162406,7.423345e-06,-0.0005187312,-0.061105326
195,3.9,0.11917895,0.01027214,0.08913787,0.016424114,0.030041084,-0.061570145,7.4311774e-06,-0.00052348187,-0.061046664
196,3.92,0.11938287,0.010120109,0.08946477,0.01626577,0.029918104,-0.061513107,7.438102e-06,-0.00052825175,-0.060984854
197,3.94,0.11958377,0.009970072,0.089788504,0.01610913,0.029795267,-0.061453,7.4441195e-06,-0.0005330402,-0.060919963
198,3.96,0.11978169,0.009822007,0.09010914,0.015954174,0.029672548,-0.061389852,7.449231e-06,-0.0005378468,-0.060852002
199,3.98,0.11997667,0.009675899,0.09042668,0.015800888,0.029549986,-0.061323736,7.4534364e-06,-0.000542671,-0.060781065
200,4.0,0.12016874,0.009531723,0.09074117,0.015649255,0.029427566,-0.061254665,7.456739e-06,-0.00054751226,-0.06070716
201,4.02,0.120357946,0.009389466,0.09105265,0.015499256,0.029305294,-0.06118271,7.4591417e-06,-0.0005523702,-0.06063034
202,4.04,0.12054433,0.009249104,0.09136115,0.0153508745,0.02918318,-0.06110793,7.4606482e-06,-0.0005572442,-0.060550686
203,4.06,0.12072792,0.00911062,0.0916667,0.015204095,0.02906122,-0.061030366,7.461264e-06,-0.0005621338,-0.060468238
204,4.08,0.12090875,0.008973993,0.09196931,0.015058899,0.02893944,-0.060950097,7.460993e-06,-0.0005670385,-0.06038306
